SEM,Q,POLICY,FOLD,SUCC,ACC,F1,MCC,WRONG_NEG
ADM,0.0,oracle_neg,1,1,1.0,1.0,1.0,0.0
ADM,0.0,oracle_neg,2,1,1.0,1.0,1.0,0.0
ADM,0.0,oracle_neg,3,1,1.0,1.0,1.0,0.0
ADM,0.0,flip_one,1,1,0.78,0.7708333333333333,0.5618006477335895,0.4
ADM,0.0,flip_one,2,1,0.85,0.8421052631578948,0.7035264706814484,0.4
ADM,0.0,flip_one,3,1,1.0,1.0,1.0,0.2
ADM,0.0,reliable_negative,1,1,0.93,0.9345794392523363,0.8685539504902852,0.0
ADM,0.0,reliable_negative,2,1,0.99,0.99009900990099,0.9801960588196069,0.0
ADM,0.0,reliable_negative,3,1,0.99,0.99009900990099,0.9801960588196069,0.0
ADM,0.1,oracle_neg,1,1,0.96,0.9615384615384615,0.9229582069908971,0.0
ADM,0.1,oracle_neg,2,1,0.96,0.9615384615384615,0.9229582069908971,0.0
ADM,0.1,oracle_neg,3,1,0.99,0.99009900990099,0.9801960588196069,0.0
ADM,0.1,flip_one,1,1,0.81,0.7912087912087912,0.6302948515057396,0.3333333333333333
ADM,0.1,flip_one,2,1,0.99,0.99009900990099,0.9801960588196069,0.2
ADM,0.1,flip_one,3,1,1.0,1.0,1.0,0.3
ADM,0.1,reliable_negative,1,1,0.88,0.8928571428571428,0.7828813612588127,0.03333333333333333
ADM,0.1,reliable_negative,2,1,0.91,0.9174311926605504,0.8336157713463008,0.0
ADM,0.1,reliable_negative,3,1,0.9,0.9090909090909091,0.8164965809277261,0.03333333333333333
ADM,0.2,oracle_neg,1,1,0.92,0.9259259259259259,0.8509629433967631,0.0
ADM,0.2,oracle_neg,2,1,0.89,0.9009009009009009,0.7995900589021114,0.0
ADM,0.2,oracle_neg,3,1,0.88,0.8928571428571428,0.7828813612588127,0.0
ADM,0.2,flip_one,1,1,0.77,0.7160493827160493,0.5837923125869543,0.26666666666666666
ADM,0.2,flip_one,2,1,0.78,0.7500000000000001,0.5768599504012304,0.36666666666666664
ADM,0.2,flip_one,3,1,0.87,0.8737864077669903,0.7413356072232964,0.23333333333333334
ADM,0.2,reliable_negative,1,1,0.85,0.8387096774193548,0.7069625178409298,0.06666666666666667
ADM,0.2,reliable_negative,2,1,0.91,0.9174311926605504,0.8336157713463008,0.06666666666666667
ADM,0.2,reliable_negative,3,1,0.81,0.7956989247311828,0.626166801516252,0.06666666666666667
CMP,0.0,oracle_neg,1,1,0.96,0.9615384615384615,0.9229582069908971,0.0
CMP,0.0,oracle_neg,2,1,0.99,0.99009900990099,0.9801960588196069,0.0
CMP,0.0,oracle_neg,3,1,0.92,0.9259259259259259,0.8509629433967631,0.0
CMP,0.0,flip_one,1,1,0.98,0.9795918367346939,0.9607689228305227,0.13333333333333333
CMP,0.0,flip_one,2,1,0.92,0.9259259259259259,0.8509629433967631,0.0
CMP,0.0,flip_one,3,1,0.92,0.9259259259259259,0.8509629433967631,0.16666666666666666
CMP,0.0,reliable_negative,1,1,0.96,0.9615384615384615,0.9229582069908971,0.0
CMP,0.0,reliable_negative,2,1,0.96,0.9615384615384615,0.9229582069908971,0.0
CMP,0.0,reliable_negative,3,1,0.87,0.8849557522123894,0.7663560447348133,0.0
CMP,0.1,oracle_neg,1,1,0.91,0.9174311926605504,0.8336157713463008,0.0
CMP,0.1,oracle_neg,2,1,0.95,0.9523809523809523,0.9045340337332908,0.0
CMP,0.1,oracle_neg,3,1,0.95,0.9523809523809523,0.9045340337332908,0.0
CMP,0.1,flip_one,1,1,0.81,0.8403361344537814,0.6702800625998364,0.16666666666666666
CMP,0.1,flip_one,2,1,0.8,0.8333333333333333,0.6546536707079772,0.16666666666666666
CMP,0.1,flip_one,3,1,0.86,0.8771929824561403,0.75,0.16666666666666666
CMP,0.1,reliable_negative,1,1,0.9,0.9090909090909091,0.8164965809277261,0.0
CMP,0.1,reliable_negative,2,1,0.97,0.970873786407767,0.9416965821485117,0.0
CMP,0.1,reliable_negative,3,1,0.82,0.8474576271186441,0.6859943405700354,0.0
CMP,0.2,oracle_neg,1,1,0.84,0.8620689655172413,0.7177405625652734,0.0
CMP,0.2,oracle_neg,2,1,0.92,0.9259259259259259,0.8509629433967631,0.0
CMP,0.2,oracle_neg,3,1,0.84,0.8620689655172413,0.7177405625652734,0.0
CMP,0.2,flip_one,1,1,0.9,0.9056603773584904,0.8058229640253803,0.16666666666666666
CMP,0.2,flip_one,2,1,0.8,0.7872340425531915,0.6043672230190352,0.3333333333333333
CMP,0.2,flip_one,3,1,0.66,0.5277777777777778,0.38624363966821407,0.16666666666666666
CMP,0.2,reliable_negative,1,1,0.88,0.888888888888889,0.7699188535494524,0.0
CMP,0.2,reliable_negative,2,1,0.93,0.9345794392523363,0.8685539504902852,0.0
CMP,0.2,reliable_negative,3,1,0.81,0.8403361344537814,0.6702800625998364,0.03333333333333333
STB,0.0,oracle_neg,1,1,1.0,1.0,1.0,0.0
STB,0.0,oracle_neg,2,1,1.0,1.0,1.0,0.0
STB,0.0,oracle_neg,3,1,0.99,0.99009900990099,0.9801960588196069,0.0
STB,0.0,flip_one,1,1,1.0,1.0,1.0,0.0
STB,0.0,flip_one,2,1,1.0,1.0,1.0,0.0
STB,0.0,flip_one,3,1,1.0,1.0,1.0,0.0
STB,0.0,reliable_negative,1,1,0.98,0.9803921568627451,0.9607689228305227,0.0
STB,0.0,reliable_negative,2,1,0.89,0.9009009009009009,0.7995900589021114,0.0
STB,0.0,reliable_negative,3,1,1.0,1.0,1.0,0.0
STB,0.1,oracle_neg,1,1,0.94,0.9433962264150945,0.8864052604279183,0.0
STB,0.1,oracle_neg,2,1,0.98,0.9803921568627451,0.9607689228305227,0.0
STB,0.1,oracle_neg,3,1,0.97,0.970873786407767,0.9416965821485117,0.0
STB,0.1,flip_one,1,1,0.95,0.9523809523809523,0.9045340337332908,0.03333333333333333
STB,0.1,flip_one,2,1,0.91,0.9174311926605504,0.8336157713463008,0.0
STB,0.1,flip_one,3,1,0.96,0.9615384615384615,0.9229582069908971,0.06666666666666667
STB,0.1,reliable_negative,1,1,0.79,0.8264462809917354,0.6391014819458269,0.0
STB,0.1,reliable_negative,2,1,0.89,0.9009009009009009,0.7995900589021114,0.03333333333333333
STB,0.1,reliable_negative,3,1,0.95,0.9523809523809523,0.9045340337332908,0.03333333333333333
STB,0.2,oracle_neg,1,1,0.97,0.970873786407767,0.9416965821485117,0.0
STB,0.2,oracle_neg,2,1,0.94,0.9433962264150945,0.8864052604279183,0.0
STB,0.2,oracle_neg,3,1,0.94,0.9433962264150945,0.8864052604279183,0.0
STB,0.2,flip_one,1,1,0.87,0.8849557522123894,0.7663560447348133,0.13333333333333333
STB,0.2,flip_one,2,1,0.47,0.07017543859649124,-0.11757927025044308,0.26666666666666666
STB,0.2,flip_one,3,1,0.9,0.9090909090909091,0.8164965809277261,0.06666666666666667
STB,0.2,reliable_negative,1,1,0.84,0.8620689655172413,0.7177405625652734,0.03333333333333333
STB,0.2,reliable_negative,2,1,0.89,0.9009009009009009,0.7995900589021114,0.03333333333333333
STB,0.2,reliable_negative,3,1,0.82,0.8474576271186441,0.6859943405700354,0.0
