NOISE;SEMANTICS;F;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
0.0;ADM;10;15;0.9238;0.8606;-0.0632
0.0;ADM;20;15;0.9793;0.9377;-0.0416
0.0;ADM;30;15;0.9922;0.9673;-0.0249
0.0;ADM;40;15;0.9993;0.9912;-0.0081
0.0;ADM;60;15;1.0000;1.0000;+0.0000
0.0;ADM;80;15;1.0000;1.0000;+0.0000
0.0;CMP;10;15;0.9459;0.8591;-0.0868
0.0;CMP;20;15;0.9606;0.9264;-0.0342
0.0;CMP;30;15;0.9623;0.9273;-0.0350
0.0;CMP;40;15;0.9915;0.9749;-0.0166
0.0;CMP;60;15;0.9974;0.9929;-0.0045
0.0;CMP;80;15;0.9967;0.9860;-0.0107
0.0;PRF;10;15;0.9371;0.8568;-0.0803
0.0;PRF;20;15;0.9772;0.9378;-0.0395
0.0;PRF;30;15;0.9841;0.9698;-0.0144
0.0;PRF;40;15;0.9921;0.9791;-0.0130
0.0;PRF;60;15;0.9881;0.9743;-0.0139
0.0;PRF;80;15;0.9934;0.9890;-0.0044
0.0;STB;10;15;0.9523;0.8887;-0.0636
0.0;STB;20;15;0.9910;0.9677;-0.0233
0.0;STB;30;15;0.9921;0.9598;-0.0323
0.0;STB;40;15;0.9897;0.9734;-0.0163
0.0;STB;60;15;1.0000;1.0000;+0.0000
0.0;STB;80;15;0.9967;0.9864;-0.0103
0.1;ADM;10;15;0.8007;0.7199;-0.0808
0.1;ADM;20;15;0.8818;0.8396;-0.0422
0.1;ADM;30;15;0.9176;0.8607;-0.0569
0.1;ADM;40;15;0.9092;0.8874;-0.0218
0.1;ADM;60;15;0.9353;0.9045;-0.0308
0.1;ADM;80;14;0.9551;0.9347;-0.0205
0.1;CMP;10;15;0.8251;0.7392;-0.0859
0.1;CMP;20;15;0.7779;0.7219;-0.0560
0.1;CMP;30;15;0.9202;0.8488;-0.0713
0.1;CMP;40;15;0.9577;0.9123;-0.0453
0.1;CMP;60;14;0.9689;0.9521;-0.0168
0.1;CMP;80;15;0.9557;0.9195;-0.0362
0.1;PRF;10;15;0.8909;0.8218;-0.0691
0.1;PRF;20;15;0.9239;0.8727;-0.0512
0.1;PRF;30;15;0.9582;0.8952;-0.0630
0.1;PRF;40;15;0.9651;0.9388;-0.0264
0.1;PRF;60;15;0.9728;0.9484;-0.0244
0.1;PRF;80;14;0.9703;0.9419;-0.0284
0.1;STB;10;15;0.7279;0.6640;-0.0639
0.1;STB;20;15;0.9429;0.8731;-0.0697
0.1;STB;30;14;0.9586;0.9496;-0.0089
0.1;STB;40;15;0.9876;0.9672;-0.0203
0.1;STB;60;15;0.9772;0.9306;-0.0466
0.1;STB;80;14;0.9701;0.9344;-0.0357
0.2;ADM;10;14;0.5575;0.5523;-0.0052
0.2;ADM;20;15;0.7048;0.6602;-0.0446
0.2;ADM;30;15;0.7560;0.6852;-0.0708
0.2;ADM;40;12;0.9100;0.8699;-0.0401
0.2;ADM;60;12;0.9043;0.8886;-0.0157
0.2;ADM;80;10;0.9389;0.8940;-0.0449
0.2;CMP;10;15;0.4796;0.4313;-0.0483
0.2;CMP;20;15;0.8032;0.7495;-0.0537
0.2;CMP;30;15;0.7847;0.7696;-0.0152
0.2;CMP;40;13;0.8366;0.7799;-0.0567
0.2;CMP;60;10;0.9509;0.9443;-0.0066
0.2;CMP;80;11;0.9451;0.9156;-0.0295
0.2;PRF;10;15;0.7420;0.6802;-0.0618
0.2;PRF;20;15;0.8020;0.7520;-0.0500
0.2;PRF;30;15;0.8159;0.7467;-0.0693
0.2;PRF;40;15;0.8995;0.8702;-0.0294
0.2;PRF;60;11;0.9404;0.8643;-0.0761
0.2;PRF;80;10;0.9586;0.9096;-0.0491
0.2;STB;10;15;0.7153;0.6410;-0.0743
0.2;STB;20;15;0.7159;0.6713;-0.0446
0.2;STB;30;14;0.7694;0.7017;-0.0677
0.2;STB;40;15;0.8090;0.7855;-0.0235
0.2;STB;60;12;0.9545;0.9126;-0.0419
0.2;STB;80;11;0.9559;0.9092;-0.0467
